@relation lexicons/arabic/translated_from_english/text_lexicons_without_instructions_etc/bingliu_ar.txt

@attribute english string 
@attribute arabic string
@attribute buckwalter string
@attribute sentscore numeric 

@data
"poise","رباطة جأش","rbATp jA$",1
"poised","تستعد","tstEd",1
"polished","مصقول","mSqwl",1
"polite","مهذب","mh*b",1
"politeness","كياسة","kyAsp",1
"popular","شعبي","$Eby",1
"portable","المحمول","AlmHmwl",1
"posh","أنيق","Anyq",1
"positive","إيجابي","AyjAby",1
"positively","بصورة إيجابية","bSwrp AyjAbyp",1
"positives","ايجابيات","AyjAbyAt",1
"powerful","قوي","qwy",1
"powerfully","بقوة","bqwp",1
"praise","مدح","mdH",1
"praiseworthy","جدير بالاطراء والثناء","jdyr bAlATrA' wAlvnA'",1
"praising","مشيدا","m$ydA",1
"pre-eminent","مبرز","mbrz",1
"precious","ثمين","vmyn",1
"precise","دقيق","dqyq",1
"precisely","على وجه التحديد","Ely wjh AltHdyd",1
"preeminent","البارز","AlbArz",1
"prefer","فضل","fDl",1
"preferable","أفضل","AfDl",1
"preferably","ويفضل","wyfDl",1
"prefered","يفضل","yfDl",1
"preferes","preferes","preferes",1
"preferring","التفضيل","AltfDyl",1
"prefers","تفضل","tfDl",1
"premier","رئيس الوزراء","r}ys AlwzrA'",1
"prestige","هيبة","hybp",1
"prestigious","ذو هيبة","*w hybp",1
"prettily","على نحو جميل","Ely nHw jmyl",1
"pretty","جميل","jmyl",1
"priceless","لا يقدر بثمن","lA yqdr bvmn",1
"pride","كبرياء","kbryA'",1
"principled","المبدئي","Almbd}y",1
"privilege","امتياز","AmtyAz",1
"privileged","حظا","HZA",1
"prize","جائزة","jA}zp",1
"proactive","استباقية","AstbAqyp",1
"problem-free","خالية من المشاكل","xAlyp mn Alm$Akl",1
"problem-solver","حلال مشاكل","HlAl m$Akl",1
"prodigious","معجز","mEjz",1
"prodigiously","غير عادي","gyr EAdy",1
"prodigy","معجزة","mEjzp",1
"productive","منتج","mntj",1
"productively","مثمر","mvmr",1
"proficient","ماهر","mAhr",1
"proficiently","ببراعة","bbrAEp",1
"profound","عميق","Emyq",1
"profoundly","عمق","Emq",1
"profuse","مسرف","msrf",1
"profusion","إسراف","AsrAf",1
"progress","تقدم","tqdm",1
"progressive","تقدمية","tqdmyp",1
"prolific","خصيب","xSyb",1
"prominence","أهمية","Ahmyp",1
"prominent","بارز","bArz",1
"promise","وعد","wEd",1
"promised","وعدت","wEdt",1
"promises","وعود","wEwd",1
"promising","واعد","wAEd",1
"promoter","متعهد","mtEhd",1
"prompt","موجه","mwjh",1
"promptly","فورا","fwrA",1
"proper","مناسب","mnAsb",1
"properly","بصورة صحيحة","bSwrp SHyHp",1
"propitious","صفوح","SfwH",1
"propitiously","propitiously","propitiously",1
"pros","الايجابيات","AlAyjAbyAt",1
"prosper","تزدهر","tzdhr",1
"prosperity","ازدهار","AzdhAr",1
"prosperous","مزدهر","mzdhr",1
"prospros","prospros","prospros",1
"protect","حماية","HmAyp",1
"protection","حماية","HmAyp",1
"protective","حماية","HmAyp",1
"proud","فخور","fxwr",1
"proven","مؤكد","mWkd",1
"proves","يثبت","yvbt",1
"providence","العناية الإلهية","AlEnAyp AlAlhyp",1
"proving","تثبت","tvbt",1
"prowess","شجاعة","$jAEp",1
"prudence","حكمة","Hkmp",1
"prudent","حصيف","HSyf",1
"prudently","بحكمة","bHkmp",1
"punctual","دقيق","dqyq",1
"pure","نقي","nqy",1
"purify","طهر","Thr",1
"purposeful","متأني","mtAny",1
"quaint","طريف","Tryf",1
"qualified","تأهل","tAhl",1
"qualify","تأهل","tAhl",1
"quicker","أسرع","AsrE",1
"quiet","هدوء","hdw'",1
"quieter","أكثر هدوءا","Akvr hdw'A",1
"radiance","إشعاع","A$EAE",1
"radiant","مشع","m$E",1
"rapid","سريع","sryE",1
"rapport","علاقة","ElAqp",1
"rapt","طرب","Trb",1
"rapture","نشوة","n$wp",1
"raptureous","raptureous","raptureous",1
"raptureously","raptureously","raptureously",1
"rapturous","هائج","hA}j",1
"rapturously","بطريقة مفعمة بالنشوة","bTryqp mfEmp bAln$wp",1
"rational","عقلاني","EqlAny",1
"razor-sharp","أسلاك شائكة حادة","AslAk $A}kp HAdp",1
"reachable","في متناول اليد","fy mtnAwl Alyd",1
"readable","مقروء","mqrw'",1
"readily","بسهولة","bshwlp",1
"ready","استعداد","AstEdAd",1
"reaffirm","نؤكد من جديد","nWkd mn jdyd",1
"reaffirmation","التأكيد مجددا","AltAkyd mjddA",1
"realistic","واقعي","wAqEy",1
"realizable","قابل للتحقيق","qAbl lltHqyq",1
"reasonable","معقول","mEqwl",1
"reasonably","معقول","mEqwl",1
"reasoned","مسبب","msbb",1
"reassurance","إعادة الطمأنينة","AEAdp AlTmAnynp",1
"reassure","طمأن","TmAn",1
"receptive","تقبلي","tqbly",1
"reclaim","استعادة","AstEAdp",1
"recomend","نوصي","nwSy",1
"recommend","يوصي","ywSy",1
"recommendation","توصية","twSyp",1
"recommendations","توصيات","twSyAt",1
"recommended","موصى به","mwSy bh",1
"reconcile","توفيق","twfyq",1
"reconciliation","تصالح","tSAlH",1
"record-setting","قياسية","qyAsyp",1
"recover","استعادة","AstEAdp",1
"recovery","انتعاش","AntEA$",1
"rectification","تصحيح","tSHyH",1
"rectify","تدارك","tdArk",1
"rectifying","يعدل","yEdl",1
"redeem","خلص","xlS",1
"redeeming","التعويض","AltEwyD",1
"redemption","فداء","fdA'",1
"refine","صقل","Sql",1
"refined","مكرر","mkrr",1
"refinement","تهذيب","th*yb",1
"reform","إصلاح","ASlAH",1
"reformed","إصلاح","ASlAH",1
"reforming","إصلاح","ASlAH",1
"reforms","الإصلاحات","AlASlAHAt",1
"refresh","تحديث","tHdyv",1
"refreshed","منتعش","mntE$",1
"refreshing","منعش","mnE$",1
"refund","رد","rd",1
"refunded","ردها","rdhA",1
"regal","ملكي","mlky",1
"regally","ملكيا","mlkyA",1
"regard","اعتبار","AEtbAr",1
"rejoice","ابتهج","Abthj",1
"rejoicing","ابتهاج","AbthAj",1
"rejoicingly","rejoicingly","rejoicingly",1
"rejuvenate","تجدد","tjdd",1
"rejuvenated","تجدد شبابها","tjdd $bAbhA",1
"rejuvenating","تجديد شباب","tjdyd $bAb",1
"relaxed","استرخاء","AstrxA'",1
"relent","خفف","xff",1
"reliable","موثوق","mwvwq",1
"reliably","بثقة","bvqp",1
"relief","راحة","rAHp",1
"relish","نكهة","nkhp",1
"remarkable","رائع","rA}E",1
"remarkably","لافت للنظر","lAft llnZr",1
"remedy","علاج","ElAj",1
"remission","غفران","gfrAn",1
"remunerate","كافأ","kAfA",1
"renaissance","نهضة","nhDp",1
"renewed","متجدد","mtjdd",1
"renown","شهرة","$hrp",1
"renowned","مشهور","m$hwr",1
"replaceable","مستبدل","mstbdl",1
"reputable","حسن السمعة","Hsn AlsmEp",1
"reputation","سمعة","smEp",1
"resilient","مرن","mrn",1
"resolute","حازم","HAzm",1
"resound","ضج","Dj",1
"resounding","مدويا","mdwyA",1
"resourceful","واسع الحيلة","wAsE AlHylp",1
"resourcefulness","سعة الحيلة","sEp AlHylp",1
"respect","احترام","AHtrAm",1
"respectable","محترم","mHtrm",1
"respectful","الاحترام","AlAHtrAm",1
"respectfully","باحترام","bAHtrAm",1
"respite","تأجيل","tAjyl",1
"resplendent","متألق","mtAlq",1
"responsibly","مسؤول","msWwl",1
"responsive","متجاوب","mtjAwb",1
"restful","مريح","mryH",1
"restored","مرمم","mrmm",1
"restructure","إعادة هيكلة","AEAdp hyklp",1
"restructured","إعادة هيكلة","AEAdp hyklp",1
"restructuring","إعادة الهيكلة","AEAdp Alhyklp",1
"retractable","قابل للسحب","qAbl llsHb",1
"revel","عربد","Erbd",1
"revelation","وحي","wHy",1
"revere","وقر","wqr",1
"reverence","تبجيل","tbjyl",1
"reverent","مبجل","mbjl",1
"reverently","بوقار","bwqAr",1
"revitalize","تنشيط","tn$yT",1
"revival","إحياء","AHyA'",1
"revive","إحياء","AHyA'",1
"revives","تحيي","tHyy",1
"revolutionary","ثوري","vwry",1
"revolutionize","ثورة","vwrp",1
"revolutionized","ثورة","vwrp",1
"revolutionizes","t ثورة","t vwrp",1
"reward","مكافأة","mkAfAp",1
"rewarding","مكافأة","mkAfAp",1
"rewardingly","rewardingly","rewardingly",1
"rich","غني","gny",1
"richer","ثراء","vrA'",1
"richly","بوفرة","bwfrp",1
"richness","غنى","gny",1
"right","حق","Hq",1
"righten","righten","righten",1
"righteous","صالح","SAlH",1
"righteously","باستقامة","bAstqAmp",1
"righteousness","صلاح","SlAH",1
"rightful","منصف","mnSf",1
"rightfully","حق","Hq",1
"rightly","بحق","bHq",1
"rightness","عدل","Edl",1
"risk-free","بلا مخاطر","blA mxATr",1
"robust","قوي","qwy",1
"rock-star","نجم روك","njm rwk",1
"rock-stars","صخرة النجوم","Sxrp Alnjwm",1
"rockstar","نجم روك","njm rwk",1
"rockstars","مشاهير","m$Ahyr",1
"romantic","رومانسي","rwmAnsy",1
"romantically","عاطفية","EATfyp",1
"romanticize","حمل فكرات رومانتيكية","Hml fkrAt rwmAntykyp",1
"roomier","رومير","rwmyr",1
"roomy","فسيح","fsyH",1
"rosy","وردي","wrdy",1
"safe","آمن","Amn",1
"safely","بسلام","bslAm",1
"sagacity","حصافة","HSAfp",1
"sagely","بحكمة","bHkmp",1
"saint","قديس","qdys",1
"saintliness","قداسة","qdAsp",1
"saintly","طاهر","TAhr",1
"salutary","مفيد","mfyd",1
"salute","رد التحية","rd AltHyp",1
"sane","عاقل","EAql",1
"satisfactorily","مرض","mrD",1
"satisfactory","مرض","mrD",1
"satisfied","راض","rAD",1
"satisfies","يرضى","yrDy",1
"satisfy","عوض","EwD",1
"satisfying","مرض","mrD",1
"satisified","satisified كنت","satisified knt",1
"saver","المدخر","Almdxr",1
"savings","مدخرات","mdxrAt",1
"savior","منقذ","mnq*",1
"savvy","ذكاء","*kA'",1
"scenic","تصويري","tSwyry",1
"seamless","سلس","sls",1
"seasoned","متبل","mtbl",1
"secure","تأمين","tAmyn",1
"securely","آمن","Amn",1
"selective","انتقائي","AntqA}y",1
"self-determination","تقرير المصير","tqryr AlmSyr",1
"self-respect","احترام الذات","AHtrAm Al*At",1
"self-satisfaction","إرضاء الذات","ArDA' Al*At",1
"self-sufficiency","الاكتفاء الذاتي","AlAktfA' Al*Aty",1
"self-sufficient","مكتف ذاتيا","mktf *AtyA",1
"sensation","إحساس","AHsAs",1
"sensational","مثير","mvyr",1
"sensationally","مثير","mvyr",1
"sensations","الأحاسيس","AlAHAsys",1
"sensible","معقول","mEqwl",1
"sensibly","معقول","mEqwl",1
"sensitive","حساس","HsAs",1
"serene","هادئ","hAd}",1
"serenity","صفاء","SfA'",1
"sexy","جنسي","jnsy",1
"sharp","حاد","HAd",1
"sharper","غشاش","g$A$",1
"sharpest","الأكثر حدة","AlAkvr Hdp",1
"shimmering","متلألئ","mtlAl}",1
"shimmeringly","shimmeringly","shimmeringly",1
"shine","تألق","tAlq",1
"shiny","لامع","lAmE",1
"significant","كبير","kbyr",1
"silent","صامت","SAmt",1
"simpler","بساطة","bsATp",1
"simplest","أبسط","AbsT",1
"simplified","مبسط","mbsT",1
"simplifies","يبسط","ybsT",1
"simplify","تبسيط","tbsyT",1
"simplifying","تبسيط","tbsyT",1
"sincere","صادق","SAdq",1
"sincerely","بإخلاص","bAxlAS",1
"sincerity","صدق","Sdq",1
"skill","مهارة","mhArp",1
"skilled","ماهر","mAhr",1
"skillful","ماهر","mAhr",1
"skillfully","بإتقان","bAtqAn",1
"slammin","slammin","slammin",1
"sleek","أملس","Amls",1
"slick","أملس","Amls",1
"smart","ذكي","*ky",1
"smarter","أكثر ذكاء","Akvr *kA'",1
"smartest","أذكى","A*ky",1
"smartly","بذكاء","b*kA'",1
"smile","ابتسامة","AbtsAmp",1
"smiles","الابتسامات","AlAbtsAmAt",1
"smiling","باسم","bAsm",1
"smilingly","مبتسما","mbtsmA",1
"smitten","مسحور","msHwr",1
"smooth","ناعم","nAEm",1
"smoother","أكثر سلاسة","Akvr slAsp",1
"smoothes","ينعم","ynEm",1
"smoothest","أسلس","Asls",1
"smoothly","على نحو سلس","Ely nHw sls",1
"snappy","لاذع","lA*E",1
"snazzy","أنيق","Anyq",1
"sociable","مؤنس","mWns",1
"soft","ناعم","nAEm",1
"softer","ليونة","lywnp",1
"solace","عزاء","EzA'",1
"solicitous","مهموم","mhmwm",1
"solicitously","solicitously","solicitously",1
"solid","صلب","Slb",1
"solidarity","تضامن","tDAmn",1
"soothe","سكن","skn",1
"soothingly","هاديء","hAdy'",1
"sophisticated","راقي","rAqy",1
"soulful","حنون","Hnwn",1
"soundly","على نحو سليم","Ely nHw slym",1
"soundness","صحة","SHp",1
"spacious","واسع","wAsE",1
"sparkle","تألق","tAlq",1
"sparkling","متألق","mtAlq",1
"spectacular","مذهل","m*hl",1
"spectacularly","بشكل مذهل","b$kl m*hl",1
"speedily","بسرعة","bsrEp",1
"speedy","سريع","sryE",1
"spellbind","فتن","ftn",1
"spellbinding","فاتن","fAtn",1
"spellbindingly","spellbindingly","spellbindingly",1
"spellbound","مدوخ","mdwx",1
"spirited","مفعم بالحيوية","mfEm bAlHywyp",1
"spiritual","روحي","rwHy",1
"splendid","رائع","rA}E",1
"splendidly","رائع","rA}E",1
"splendor","روعة","rwEp",1
"spontaneous","عفوي","Efwy",1
"sporty","رياضي","ryADy",1
"spotless","نظيف","nZyf",1
"sprightly","خفيف","xfyf",1
"stability","استقرار","AstqrAr",1
"stabilize","استقرار","AstqrAr",1
"stable","مستقر","mstqr",1
"stainless","غير القابل للصدأ","gyr AlqAbl llSdA",1
"standout","دافع عن كرامته","dAfE En krAmth",1
"state-of-the-art","مثال رائع من الفن","mvAl rA}E mn Alfn",1
"stately","فخم","fxm",1
"statuesque","مثالاني شبيه بالتمثال","mvAlAny $byh bAltmvAl",1
"staunch","قوي","qwy",1
"staunchly","بقوة","bqwp",1
"staunchness","بالحماس","bAlHmAs",1
"steadfast","ثابت","vAbt",1
"steadfastly","بثبات","bvbAt",1
"steadfastness","صمود","Smwd",1
"steadiest","مطردا","mTrdA",1
"steadiness","ثبات","vbAt",1
"steady","ثابت","vAbt",1
"stellar","ممتاز","mmtAz",1
"stellarly","stellarly","stellarly",1
"stimulate","حفز","Hfz",1
"stimulates","يحفز","yHfz",1
"stimulating","تحفيز","tHfyz",1
"stimulative","منعش","mnE$",1
"stirringly","stirringly","stirringly",1
"straighten","اعتدل","AEtdl",1
"straightforward","بسيط","bsyT",1
"streamlined","مبسطة","mbsTp",1
"striking","مدهش","mdh$",1
"strikingly","لافت للنظر","lAft llnZr",1
"striving","سعي","sEy",1
"strong","قوي","qwy",1
"stronger","أقوى","Aqwy",1
"strongest","أقوى","Aqwy",1
"stunned","مذهول","m*hwl",1
"stunning","مذهل","m*hl",1
"stunningly","بصورة مثيرة","bSwrp mvyrp",1
"stupendous","ملفت للنظر","mlft llnZr",1
"stupendously","stupendously","stupendously",1
"sturdier","أكثر ثباتا","Akvr vbAtA",1
"sturdy","قوي","qwy",1
"stylish","أنيق","Anyq",1
"stylishly","أنيق","Anyq",1
"stylized","منطبق على أسلوب معين","mnTbq Ely Aslwb mEyn",1
"suave","لطيف","lTyf",1
"suavely","suavely","suavely",1
"sublime","رفيع","rfyE",1
"subsidize","دعم","dEm",1
"subsidized","المدعومة","AlmdEwmp",1
"subsidizes","تدعم","tdEm",1
"subsidizing","دعم","dEm",1
"substantive","الموضوعية","AlmwDwEyp",1
"succeed","نجح","njH",1
"succeeded","نجح","njH",1
"succeeding","خلفا ل","xlfA l",1
"succeeds","ينجح","ynjH",1
"succes","نجاح لل","njAH ll",1
"success","نجاح","njAH",1
"successes","النجاحات","AlnjAHAt",1
"successful","ناجح","nAjH",1
"successfully","بنجاح","bnjAH",1
"suffice","كفى","kfy",1
"sufficed","يكفي","ykfy",1
"suffices","يكفي","ykfy",1
"sufficient","كاف","kAf",1
"sufficiently","بما فيه الكفاية","bmA fyh AlkfAyp",1
"suitable","مناسب","mnAsb",1
"sumptuous","باذخ","bA*x",1
"sumptuously","فاخر","fAxr",1
"sumptuousness","الفخامة","AlfxAmp",1
"super","السوبر","Alswbr",1
"superb","رائع","rA}E",1
"superbly","رائعة","rA}Ep",1
"superior","متفوق","mtfwq",1
"superiority","التفوق","Altfwq",1
"supple","مرن","mrn",1
"support","الدعم","AldEm",1
"supported","أيد","Ayd",1
"supporter","مؤيد","mWyd",1
"supporting","دعم","dEm",1
"supportive","داعمة","dAEmp",1
"supports","الدعم","AldEm",1
"supremacy","سيادة","syAdp",1
"supreme","سامي","sAmy",1
"supremely","بسمو","bsmw",1
"supurb","سوبورب","swbwrb",1
"supurbly","supurbly","supurbly",1
"surmount","تسلق","tslq",1
"surpass","تجاوز","tjAwz",1
"surreal","سريالية","sryAlyp",1
"survival","بقاء","bqA'",1
"survivor","ناجي","nAjy",1
"sustainability","الاستدامة","AlAstdAmp",1
"sustainable","التنمية المستدامة","Altnmyp AlmstdAmp",1
"swank","تأنق","tAnq",1
"swankier","swankier","swankier",1
"swankiest","swankiest","swankiest",1
"swanky","فاخر","fAxr",1
"sweeping","كنس","kns",1
"sweet","حلو","Hlw",1
"sweeten","حلى","Hly",1
"sweetheart","حبيب","Hbyb",1
"sweetly","بعذوبة","bE*wbp",1
"sweetness","حلاوة","HlAwp",1
"swift","سريع","sryE",1
"swiftness","سرعة","srEp",1
"talent","موهبة","mwhbp",1
"talented","موهوب","mwhwb",1
"talents","المواهب","AlmwAhb",1
"tantalize","عذب","E*b",1
"tantalizing","محيرة","mHyrp",1
"tantalizingly","المنال","AlmnAl",1
"tempt","جذب","j*b",1
"tempting","مغر","mgr",1
"temptingly","مغري","mgry",1
"tenacious","عنيد","Enyd",1
"tenaciously","بعناد","bEnAd",1
"tenacity","عناد","EnAd",1
"tender","مناقصة","mnAqSp",1
"tenderly","بحنان","bHnAn",1
"terrific","رائع","rA}E",1
"terrifically","بشكل رائع","b$kl rA}E",1
"thank","شكر","$kr",1
"thankful","شاكر","$Akr",1
"thinner","أرق","Arq",1
"thoughtful","مدروس","mdrws",1
"thoughtfully","بشكل مدروس","b$kl mdrws",1
"thoughtfulness","اكتراث","AktrAv",1
"thrift","تقتير","tqtyr",1
"thrifty","مقتصد","mqtSd",1
"thrill","التشويق","Alt$wyq",1
"thrilled","بسعادة غامرة","bsEAdp gAmrp",1
"thrilling","مثير","mvyr",1
"thrillingly","بشكل مثير","b$kl mvyr",1
"thrills","الاثارة","AlAvArp",1
"thrive","تزدهر","tzdhr",1
"thriving","مزدهر","mzdhr",1
"thumb-up","ارفع ابهامك","ArfE AbhAmk",1
"thumbs-up","ممتاز","mmtAz",1
"tickle","دغدغة","dgdgp",1
"tidy","أنيق","Anyq",1
"time-honored","عتيق","Etyq",1
"timely","في حينه","fy Hynh",1
"tingle","ارتعش","ArtE$",1
"titillate","دغدغ","dgdg",1
"titillating","الإثارة","AlAvArp",1
"titillatingly","titillatingly","titillatingly",1
"togetherness","العمل الجماعي","AlEml AljmAEy",1
"tolerable","مقبول","mqbwl",1
"toll-free","المجاني","AlmjAny",1
"top","أعلى","AEly",1
"top-notch","من الدرجة الأولى","mn Aldrjp AlAwly",1
"top-quality","أعلى جودة","AEly jwdp",1
"topnotch","من الدرجة الأولى","mn Aldrjp AlAwly",1
"tops","قمم","qmm",1
"tough","متين","mtyn",1
"tougher","أكثر صرامة","Akvr SrAmp",1
"toughest","أصعب","ASEb",1
"traction","جر","jr",1
"tranquil","هادئ","hAd}",1
"tranquility","هدوء","hdw'",1
"transparent","شفاف","$fAf",1
"treasure","كنز","knz",1
"tremendously","جدا","jdA",1
"trendy","شائع","$A}E",1
"triumph","انتصار","AntSAr",1
"triumphal","نصري","nSry",1
"triumphant","منتصر","mntSr",1
"triumphantly","منتصرا","mntSrA",1
"trivially","مسلي","msly",1
"trophy","كأس","kAs",1
"trouble-free","خالية من المتاعب","xAlyp mn AlmtAEb",1
"trump","ورقة رابحة","wrqp rAbHp",1
"trumpet","بوق","bwq",1
"trust","ثقة","vqp",1
"trusted","موثوق به","mwvwq bh",1
"trusting","واثق ب","wAvq b",1
"trustingly","بثقة","bvqp",1
"trustworthiness","الثقة","Alvqp",1
"trustworthy","جدير بالثقة","jdyr bAlvqp",1
"trusty","موثوق","mwvwq",1
"truthful","صادق","SAdq",1
"truthfully","بصدق","bSdq",1
"truthfulness","مصداقية","mSdAqyp",1
"twinkly","توينكلي","twynkly",1
"ultra-crisp","فائقة هش","fA}qp h$",1
"unabashed","قليل الحياء","qlyl AlHyA'",1
"unabashedly","دون خجل","dwn xjl",1
"unaffected","غير متأثر","gyr mtAvr",1
"unassailable","غير معادي","gyr mEAdy",1
"unbeatable","لا يهزم","lA yhzm",1
"unbiased","غير منحازة","gyr mnHAzp",1
"unbound","غير مقيد","gyr mqyd",1
"uncomplicated","غير معقدة","gyr mEqdp",1
"unconditional","دون شروط","dwn $rwT",1
"undamaged","سليم","slym",1
"undaunted","شجاع","$jAE",1
"understandable","مفهوم","mfhwm",1
"undisputable","لا جدال فيه","lA jdAl fyh",1
"undisputably","undisputably","undisputably",1
"undisputed","مسلم به","mslm bh",1
"unencumbered","غير مرتبط","gyr mrtbT",1
"unequivocal","لا لبس فيه","lA lbs fyh",1
"unequivocally","بشكل لا لبس فيه","b$kl lA lbs fyh",1
"unfazed","غير منزعج","gyr mnzEj",1
"unfettered","محرر من","mHrr mn",1
"unforgettable","لا ينسى","lA ynsy",1
"unity","وحدة","wHdp",1
"unlimited","غير محدود","gyr mHdwd",1
"unmatched","لا مثيل له","lA mvyl lh",1
"unparalleled","لا نظير له","lA nZyr lh",1
"unquestionable","لا يرقى إليه الشك","lA yrqy Alyh Al$k",1
"unquestionably","بلا جدال","blA jdAl",1
"unreal","غير حقيقي","gyr Hqyqy",1
"unrestricted","مطلق","mTlq",1
"unrivaled","منقطع النظير","mnqTE AlnZyr",1
"unselfish","غير أناني","gyr AnAny",1
"unwavering","غير متموج","gyr mtmwj",1
"upbeat","متفائل","mtfA}l",1
"upgradable","ترقية","trqyp",1
"upgradeable","ترقية","trqyp",1
"upgraded","ترقية","trqyp",1
"upheld","أيدت","Aydt",1
"uphold","دعم","dEm",1
"uplift","رفع","rfE",1
"uplifting","النهضة","AlnhDp",1
"upliftingly","نهضوية","nhDwyp",1
"upliftment","الرقي","Alrqy",1
"upscale","الراقي","AlrAqy",1
"usable","صالح للإستعمال","SAlH llAstEmAl",1
"useable","صالحة للاستعمال","SAlHp llAstEmAl",1
"useful","مفيد","mfyd",1
"user-friendly","سهل الاستخدام","shl AlAstxdAm",1
"user-replaceable","مستخدم استبدالها","mstxdm AstbdAlhA",1
"valiant","الشجاع","Al$jAE",1
"valiantly","ببسالة","bbsAlp",1
"valor","بسالة","bsAlp",1
"valuable","قيم","qym",1
"variety","تشكيلة","t$kylp",1
"venerate","بجل","bjl",1
"verifiable","يمكن التحقق منها","ymkn AltHqq mnhA",1
"veritable","حقيقي","Hqyqy",1
"versatile","متعدد الجوانب","mtEdd AljwAnb",1
"versatility","طلاقة الحركة","TlAqp AlHrkp",1
"vibrant","نابض بالحياة","nAbD bAlHyAp",1
"vibrantly","حيوي","Hywy",1
"victorious","انتصاري","AntSAry",1
"victory","فوز","fwz",1
"viewable","للعرض","llErD",1
"vigilance","يقظة","yqZp",1
"vigilant","حذر","H*r",1
"virtue","فضيلة","fDylp",1
"virtuous","فاضل","fADl",1
"virtuously","بشكل مستقيم","b$kl mstqym",1
"visionary","خيالي","xyAly",1
"vivacious","مرح","mrH",1
"vivid","حي","Hy",1
"vouch","جزم","jzm",1
"vouchsafe","إمنح","AmnH",1
"warm","دافئ","dAf}",1
"warmer","مسخن","msxn",1
"warmhearted","حنون","Hnwn",1
"warmly","بحرارة","bHrArp",1
"warmth","دفء","df'",1
"wealthy","ثري","vry",1
"welcome","أهلا بك","AhlA bk",1
"well","حسنا","HsnA",1
"well-backlit","جيدا الخلفية","jydA Alxlfyp",1
"well-balanced","متوازن بشكل جيد","mtwAzn b$kl jyd",1
"well-behaved","حسن تصرف","Hsn tSrf",1
"well-being","رفاهية","rfAhyp",1
"well-bred","مهذب","mh*b",1
"well-connected","حسن العلاقات","Hsn AlElAqAt",1
"well-educated","بالغ التهذيب","bAlg Alth*yb",1
"well-established","راسخة","rAsxp",1
"well-informed","حسن الاطلاع","Hsn AlATlAE",1
"well-intentioned","النوايا الحسنة","AlnwAyA AlHsnp",1
"well-known","غني عن التعريف","gny En AltEryf",1
"well-made","أحسنت صنعا","AHsnt SnEA",1
"well-managed","تدار بشكل جيد","tdAr b$kl jyd",1
"well-mannered","مهذب","mh*b",1
"well-positioned","، في وضع جيد",", fy wDE jyd",1
"well-received","استقبالا جيدا","AstqbAlA jydA",1
"well-regarded","يعتبر جيدا","yEtbr jydA",1
"well-rounded","تقريب جيدا","tqryb jydA",1
"well-run","تشغيل جيدا","t$gyl jydA",1
"well-wishers","المهنئين","Almhn}yn",1
"wellbeing","رفاهية","rfAhyp",1
"whoa","قف","qf",1
"wholeheartedly","بكل إخلاص","bkl AxlAS",1
"wholesome","صحي","SHy",1
"whooa","whooa","whooa",1
"whoooa","whoooa","whoooa",1
"wieldy","wieldy","wieldy",1
"willing","راغب","rAgb",1
"willingly","عن طيب خاطر","En Tyb xATr",1
"willingness","رغبة","rgbp",1
"win","فاز","fAz",1
"windfall","سقاطة","sqATp",1
"winnable","يمكن كسبها","ymkn ksbhA",1
"winner","الفائز","AlfA}z",1
"winners","الفائزين","AlfA}zyn",1
"winning","فوز","fwz",1
"wins","انتصارات","AntSArAt",1
"wisdom","حكمة","Hkmp",1
"wise","حكيم","Hkym",1
"wisely","بحكمة","bHkmp",1
"witty","بارع","bArE",1
"won","فاز","fAz",1
"wonder","عجب","Ejb",1
"wonderful","رائع","rA}E",1
"wonderfully","رائعة","rA}Ep",1
"wonderous","العجايبي","AlEjAyby",1
"wonderously","wonderously","wonderously",1
"wonders","عجائب","EjA}b",1
"wondrous","عجيب","Ejyb",1
"woo","وو","ww",1
"work","عمل","Eml",1
"workable","عملي","Emly",1
"worked","عمل","Eml",1
"works","أعمال","AEmAl",1
"world-famous","الشهيرة على مستوى العالم","Al$hyrp Ely mstwy AlEAlm",1
"worth","قيمة","qymp",1
"worth-while","جدير بالاهتمام","jdyr bAlAhtmAm",1
"worthiness","جدارة","jdArp",1
"worthwhile","جديرة بالاهتمام","jdyrp bAlAhtmAm",1
"worthy","مستحق","mstHq",1
"wow","رائع","rA}E",1
"wowed","أبهر","Abhr",1
"wowing","أثارت دهشة","AvArt dh$p",1
"wows","ووس","wws",1
"yay","ياي","yAy",1
"youthful","فتي","fty",1
"zeal","حماسة","HmAsp",1
"zenith","ذروة","*rwp",1
"zest","تلذذ","tl**",1
"zippy","رشيق","r$yq",1
"2-faced","2-الوجه","2-Alwjh",-1
"2-faces","2-وجوه","2-wjwh",-1
"abnormal","غير طبيعي","gyr TbyEy",-1
"abolish","ألغى","Algy",-1
"abominable","مقيت","mqyt",-1
"abominably","رجس","rjs",-1
"abominate","مقت","mqt",-1
"abomination","رجس","rjs",-1
"abort","إحباط","AHbAT",-1
"aborted","أجهض","AjhD",-1
"aborts","إحباط","AHbAT",-1
"abrade","كشط","k$T",-1
"abrasive","كاشط","kA$T",-1
"abrupt","مفاجئ","mfAj}",-1
"abruptly","فجأة","fjAp",-1
"abscond","هرب","hrb",-1
"absence","غياب","gyAb",-1
"absent-minded","شارد الذهن","$Ard Al*hn",-1
"absentee","الغائب","AlgA}b",-1
"absurd","سخيف","sxyf",-1
"absurdity","سخافة","sxAfp",-1
"absurdly","على نحو سخيف","Ely nHw sxyf",-1
